trail_id|score_id|score|score_date|score_link
37|37|2|2/12/2011|http://www.texashiking.com/Locations/ShowLocation.aspx?LocationID=1788
38|38|4|11/23/2018|https://www.alltrails.com/trail/us/texas/boggy-creek-greenbelt-trail
39|39|5|1/5/2012|https://www.yelp.com/biz/eastwoods-park-austin
40|40|5|11/27/2018|https://www.google.com/search?q=edward+rendon+sr+metro+park+at+festval+beach&oq=edward+rendon+sr+metro+park+at+festval+beach+&aqs=chrome..69i57.18271j1j4&sourceid=chrome&ie=UTF-8#lrd=0x8644b44d96bd9d35:0x1613597b24f0b02c,1,,,
41|41|5|9/4/2018|https://www.google.com/search?q=eilers+(deep+eddy)+neighborhood+park&oq=eilers(deep+eddy)+neigh&aqs=chrome.1.69i57j0.26511j0j9&sourceid=chrome&ie=UTF-8#lrd=0x8644b546480d4c9f:0xbd51c7f4057b2127,1,,,
42|42|4|9/4/2017|https://www.alltrails.com/trail/us/texas/emma-long-metro-park-loop
43|43|3|11/4/2018|https://www.alltrails.com/trail/us/texas/turkey-creek-trail
44|44|2|12/4/2016|https://www.streetadvisor.com/franklin-park-austin-travis-county-texas
45|45|3|6/11/2017|https://www.tripadvisor.com/Attraction_Review-g30196-d12539917-Reviews-Gaines_Creek_Park-Austin_Texas.html
46|46|5|10/4/2018|https://www.google.com/search?q=garrison+distric+park+trail&oq=garrison+distric+park+trail+&aqs=chrome..69i57j0l5.18183j0j4&sourceid=chrome&ie=UTF-8#lrd=0x865b4b5bb11872db:0x76df4467efd15822,1,,,
47|47|4|11/4/2018|https://www.google.com/search?q=gillis+parks+neighborhood+park+trail&oq=gillis+parks+neighborhood+park+trail+&aqs=chrome..69i57.17367j0j9&sourceid=chrome&ie=UTF-8#lrd=0x8644b6731b7e746f:0x604eb32c8dfa7b04,1,,,
48|48|2|6/1/2013|http://www.austinexplorer.com/Locations/ShowLocation.aspx?LocationID=1389
49|49|4|9/4/2018|https://www.alltrails.com/trail/us/texas/great-hills-park-trail
50|50|5|5/5/2015|https://www.yelp.com/biz/gullett-elementary-school-playground-austin
51|51|4|10/4/2018|https://www.google.com/search?ei=91EHXMSnDoyitQXuwrPACQ&q=gustavo+gus+l.+garcia+district+park+trail+reviews&oq=gustavo+gus+l.+garcia+district+park+trail+reviews&gs_l=psy-ab.3...16127.19381..19517...0.0..0.133.663.7j1......0....1..gws-wiz.......38j33i299j33i160.XELQW5n9ej0#lrd=0x8644c971406668c7:0x27aa82ed0af78e53,1,,,
52|52|4|11/12/2018|https://www.indeed.com/cmp/Park-Hill-School-District/reviews
53|53|5|11/27/2018|https://www.google.com/search?ei=g1IHXKn-EsuUsgXC_5aoBQ&q=houston+school+park+tracks+reviews&oq=houston+school+park+tracks+reviews&gs_l=psy-ab.3...35005.36930..37083...0.0..0.161.786.6j2......0....1..gws-wiz.......0i71j33i22i29i30j33i299j33i160.rZBCxBTNHBE#lrd=0x8644b36516ebcab1:0xfd4bdc470002d8fe,1,,,
54|54|1|9/8/2012|http://www.austinexplorer.com/Locations/ShowLocation.aspx?LocationID=1796
55|55|1|11/20/2013|http://www.austinexplorer.com/Locations/ShowLocation.aspx?LocationID=1781
56|56|1|11/27/2018|https://www.google.com/search?ei=pFMHXIjwA6OPjwSZur2wCg&q=joslin+neighborhood+park+track&oq=joslin+neighborhood+park+track&gs_l=psy-ab.3..33i160.2285.3084..3292...0.0..0.301.1226.0j3j2j1......0....1..gws-wiz.......38j0i22i30.TI8jumpZL5s#lrd=0x865b4b36402cbc5f:0x11216df8ff717774,1,,,
57|57|4|6/4/2018|https://www.google.com/search?q=kealing%20schools%20park%20track&oq=kealing+schools+park+track+&aqs=chrome..69i57.8225j0j9&sourceid=chrome&ie=UTF-8&npsic=0&rflfq=1&rlha=0&rllag=30270183,-97722600,165&tbm=lcl&rldimm=13595615865528626818&ved=2ahUKEwjy2bL_7IffAhVQjoMKHaY8BG4QvS4wAXoECAQQHQ&rldoc=1&tbs=lrf:!2m4!1e17!4m2!17m1!1e2!2m1!1e2!3sIAE,lf:1,lf_ui:1#lrd=0x8644b5b8ea37ccfb:0xbcad5498d77fae82,1,,,&rlfi=hd:;si:13595615865528626818;mv:!1m2!1d30.2714498!2d-97.7213374!2m2!1d30.268916299999994!2d-97.72386329999999;tbs:lrf:!2m1!1e2!2m4!1e17!4m2!17m1!1e2!3sIAE,lf:1,lf_ui:1
58|58|||
59|59|1|11/1/2018|https://www.google.com/search?ei=gVUHXJCnKMvQjwTCqpPACg&q=kendra+page+neighborhood+park+trail+reviews&oq=kendra+page+neighborhood+park+trail+reviews&gs_l=psy-ab.3...2693.3136..3256...0.0..0.116.408.2j2......0....1..gws-wiz.......33i160.7vU6cN9BJSU#lrd=0x8644b33e32dda375:0x29eaef44fabee4f5,1,,,
60|60|5|11/27/2018|https://www.google.com/search?q=lamar%20beach%20at%20town%20lake%20metro%20park%20trail&oq=lamar+beach+at+town+lake+metro+park+trail+&aqs=chrome..69i57.17567j0j9&sourceid=chrome&ie=UTF-8&npsic=0&rflfq=1&rlha=0&rllag=30266369,-97756044,428&tbm=lcl&rldimm=1296704178046342874&ved=2ahUKEwjFn9z67offAhUGpIMKHQNKDlkQvS4wAHoECAAQJg&rldoc=1&tbs=lrf:!2m4!1e17!4m2!17m1!1e2!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:1#rlfi=hd:;si:1296704178046342874;mv:!1m2!1d30.267817500000003!2d-97.7513309!2m2!1d30.264921!2d-97.760758;tbs:lrf:!2m1!1e2!2m1!1e3!2m4!1e17!4m2!17m1!1e2!3sIAE,lf:1,lf_ui:1
61|61|4|11/30/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Latta+Branch+Greenbelt&stick=H4sIAAAAAAAAAONgecSYzi3w8sc9Yam4SWtOXmOM4OIKzsgvd80rySypFPLiYoOy5Lj4pLj0c_UNTI3KkwwNNRikeLiQ-FIKSly8WiuYhERXcaw-qiXEGS9gu_2xd3SbYIHnaVfFDYtVeAAkNpQjbAAAAA&sa=X&ved=2ahUKEwjGl9i6r4vfAhUIRa0KHQjEBMsQ6RMwEXoECAcQBA&biw=1440&bih=789
62|62|4|11/6/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Little+Zilker+Park&stick=H4sIAAAAAAAAAONgecSYyS3w8sc9YamESWtOXmOM4uIKzsgvd80rySypFPLhYoOyFLj4pbj10_UNS1LMinPTjDUYpHi5kAWkFJS4eBl0OIREf53YcVRLiFOwJVxQY6tLm-CqbXe-a2YxnuUBALtH2B5uAAAA&sa=X&ved=2ahUKEwit5_Hbr4vfAhVC1qwKHY2JC9cQ6RMwEHoECAYQBA&biw=1440&bih=789
63|63|4|11/30/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Longview+Neighborhood+Park&stick=H4sIAAAAAAAAAONgecSYzS3w8sc9YamkSWtOXmOM4eIKzsgvd80rySypFPLjYoOylLgEpHj00_UNK3NMTC0zMpI1GKT4uFBEpBSUuHgFOhiERK893XBUS4iTkW3nxXrv6DbBuzaa_3mjj9fzAAAH_4NScAAAAA&sa=X&ved=2ahUKEwjTyubwr4vfAhUMUa0KHf_iCPEQ6RMwDHoECAcQBA&biw=1440&bih=789
64|64|4|11/20/2018|https://www.alltrails.com/trail/us/texas/bull-creek-park
65|65|4|6/10/2018|https://www.yelp.com/biz/mabel-davis-district-park-austin
66|66|||
67|67|||
68|68|4|11/6/2018|https://www.alltrails.com/trail/us/texas/mary-moore-searight-park-trail
69|69|4|12/5/2018|https://www.google.com/search?q=Mayfield+Nature+Preserve+Trail&rlz=1C5CHFA_enUS761US761&oq=Mayfield+Nature+Preserve+Trail&aqs=chrome..69i57.489j0j9&sourceid=chrome&ie=UTF-8
70|70|4|11/7/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Metz+Neighborhood+Park&stick=H4sIAAAAAAAAAONgecSYzi3w8sc9Yam4SWtOXmOM4OIKzsgvd80rySypFPLiYoOy5Lj4pLj0c_UNTI3Kk4ySNRikeLiQ-FIKSly8p6U4hEQ_-xw8qiXE2ftjYaHpFpc2wXyjk3oPwmcX8QAAJ_9cXWwAAAA&sa=X&ved=2ahUKEwiMsfetsIvfAhVPb60KHZbsBFoQ6RMwEHoECAkQBA&biw=1440&bih=789
71|71|4|11/6/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&biw=1440&bih=789&ei=Mi0JXKCDOofIsQXLj6igDw&q=Montopolis+Neighborhood+Park+Trail&oq=Montopolis+Neighborhood+Park+Trail&gs_l=psy-ab.3..33i299l2j33i160.48112.48112..48421...0.0..0.88.88.1......0....1j2..gws-wiz.......0i71.Tvzu65MGwH8
72|72|4|12/4/2018|https://www.alltrails.com/trail/us/texas/mount-bonnell-trail
73|73|5|8/22/2018|https://www.google.com/search?rlz=1C5CHFA_enUS761US761&q=Nicholas+Dawson+Park&stick=H4sIAAAAAAAAAONgecSYzi3w8sc9Yam4SWtOXmOM4OIKzsgvd80rySypFPLiYoOy5Lj4pLj0c_UNTI3Kk4zyNBikeLiQ-FIKSly8TPocQqJTzuw-qiXEOTssslJ2q0ubYPnjmMNrSp428wAAeYLtGGwAAAA&sa=X&ved=2ahUKEwjNo5OesYvfAhUPP60KHRxyApAQ6RMwEXoECAcQBA&biw=1440&bih=789
74|74|4|12/8/2018|https://www.google.com/search?q=North+Oaks+Neighborhood+Park+Trail&rlz=1C5CHFA_enUS761US761&oq=North+Oaks+Neighborhood+Park+Trail&aqs=chrome..69i57.677j0j9&sourceid=chrome&ie=UTF-8
