park_id|park_name|address
240|Piney Bend Neighborhood Park|8601 Piney Creek Bnd., Austin, Texas 78745
241|Pioneer Crossing Neighborhood Park|11544 Samsung Blvd., Austin, Texas 78754
242|Plaza Saltillo*|1501 E 5th St., Austin, Texas 78702
243|Plummers Cemetery|1150 Blk of Springdale Rd., Austin, Texas 78721
244|Ponciana Neighborhood Park|5201 Freidrich Ln., Austin, Texas 78744
245|Quail Creek Neighborhood Park|1101 Mearns Meadow Dr., Austin, Texas 78758
246|Ramsey Neighborhood Park|4301 Rosedale Ave., Austin, Texas 78756
247|Red Bud Isle|3401 Red Bud Trl., Austin, Texas 78746
248|Reed Neighborhood Park|2614 Pecos St., Austin, Texas 78703
249|Reilly School Park|6001 Guadalupe St., Austin, Texas 78752
250|Renaissance Market*|2300 Blk of Guadalupe St., Austin, Texas 78705
251|Republic Square|422 Guadalupe St., Austin, Texas 78701
252|Riata Neighborhood Park|12401 Riata Trace Pkwy., Austin, Texas 78727
253|Ricky Guerrero Neighborhood Park|2006 S 6th St., Austin, Texas 78704
254|Rinard Creek Greenbelt|10625 Bradshaw Rd., Austin, Texas 78747
255|Roberta Crenshaw Overlook at Shoal Beach at Town Lake Metro Park|201 W Cesar Chavez St., Austin, Texas 78701
256|Ron Rigsby Pocket Park|1110 Little Elm Park, Austin, Texas 78758
257|Rosewood Neighborhood Park|2300 Rosewood Ave., Austin, Texas 78702
258|Roy and Matias Velasquez Plaza*|1020 E 5th St., Austin, Texas 78702
259|Roy G. Guerrero Colorado River Metropolitan Park|400 Grove Blvd., Austin, Texas 78741
260|Roy Kizer Golf Course|5400 Jimmy Clay Dr., Austin, Texas 78744
261|Ryan Planting Strip|6900 Ryan Dr., Austin, Texas 78757
262|Salt Springs Neighborhood Park|6401 E William Cannon Dr., Austin, Texas 78744
263|Saltillo Park Easement*|2300 Blk of Guadalupe St. Austin, Texas 78705
264|Sanchez School Park|64 Waller St., Austin, Texas 78702
265|Schieffer Tract|3404 Hycreek Dr., Austin, Texas 78723
266|Scofield Farms Neighborhood Park|12901 Scofield Farms Dr., Austin, Texas 78727
267|Seiders Springs at Shoal Creek Greenbelt|1380 W 34th St., Austin, Texas 78731
268|Sendera Mesa Neighborhood Park|4717 Davis Ln., Austin, Texas 78749
269|Shinoak Valley Greenbelt|3900 Dry Creek Dr., Austin, Texas 78731
270|Shipe Neighborhood Park|4400 Avenue G, Austin, Texas 78751
271|Shoal Beach at Town Lake Metropolitan Park|707 W Cesar Chavez St., Austin, Texas 78701
272|Shoal Creek Greenbelt|2600 N Lamar Blvd., Austin, Texas 78705
273|Shoal Creek Greenbelt Easement*|811 W 5th St., Austin, Texas 78703
274|Shoal Creek Greenbelt Pembrook Easement*|2615 Pembrook Trl., Austin, Texas 78731
275|Silk Oak Neighborhood Park|3204 Silk Oak Dr., Austin, Texas 78748
276|Sir Swante Palm Neighborhood Park|200 N IH 35 Svrd SB, Austin, Texas 78701
277|Slaughter Creek Greenbelt|10003 S 1st St., Austin, Texas 78748
278|South Austin Island|2205 S Congress Ave., Austin, Texas 78704
279|South Austin Neighborhood Park|1100 Cumberland Rd., Austin, Texas 78704
280|South Austin Senior Activity Center|3911 Manchaca Rd., Austin, Texas 78704
281|South Austin Tennis Center|1000 Cumberland Rd., Austin, Texas 78704
282|South Boggy Creek Greenbelt|7701 Circle S Rd., Austin, Texas 78745
283|Southern Walnut Creek Greenbelt|6013 Loyola Ln, Austin, Texas 78724
284|Southern Walnut Creek Greenbelt Easement*|1613 Loyola Ln., Austin, Texas 78724
285|Southern Walnut Creek Greenbelt Trail Easement*|7600 Delwau Ln., Austin, Texas 78725
286|Southland Oaks Neighborhood Park|3505 Green Emerald Ter., Austin, Texas 78739
287|Sparky Pocket Park|3701 Grooms St., Austin, Texas 78705
288|Springbrook Park|1800 Picadilly Rd., Pflugerville, Texas 78664
289|Springdale Neighborhood Park|1175 Nickols Ave., Austin, Texas 78721
290|Springwoods Neighborhood Park|9117 Anderson Mill Rd., Austin, Texas 78729
291|St. Edwards Greenbelt|7301 Spicewood Springs Rd., Austin, Texas 78750
292|St. Elmo School Park|4312 S 1st St., Austin, Texas 78745
293|St. John's Pocket Park|889 Wilks Ave., Austin, Texas 78752
294|Steck Valley Greenbelt|8403 Adirondack Trl., Austin, Texas 78759
295|Stephenson Nature Preserve and Outdoor Education Center|7501 Longview Rd., Austin, Texas 78745
296|Stillhouse Hollow Nature Preserve|7810 Sterling Dr., Austin, Texas 78731
297|Stoney Ridge Neighborhood Park|7000 Moores Crossing Blvd., Austin, Texas 78617
298|Stratford Overlook Greenbelt|3006 Stratford Dr., Austin, Texas 78746
